year,measure_type,leading_10_ranking,measure,group,subgroup,estimate_type,estimate,reliable
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By sex,Female,Visit count,19851000.0,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By sex,Male,Visit count,14177000.0,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By age,0-17 years old,Visit count,6486000.0,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By age,18-44 years old,Visit count,12429000.0,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By age,45-64 years old,Visit count,8739000.0,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By age,65+ years old,Visit count,6373000.0,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By race/ethnicity,Non-Hispanic white,Visit count,21222000.0,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By race/ethnicity,Non-Hispanic black,Visit count,6332000.0,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By race/ethnicity,Hispanic,Visit count,5393000.0,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By race/ethnicity,Non-Hispanic other,Visit count,1081000.0,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By region,Northeast,Visit count,5715000.0,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By region,Midwest,Visit count,7231000.0,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By region,South,Visit count,11748000.0,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By region,West,Visit count,9335000.0,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By metropolitan statistical area (MSA),MSA,Visit count,27928000.0,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By metropolitan statistical area (MSA),Non-MSA,Visit count,6100000.0,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By primary payment source,Private insurance,Visit count,8823000.0,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By primary payment source,Medicare,Visit count,7276000.0,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By primary payment source,Medicaid,Visit count,11135000.0,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By primary payment source,Uninsured,Visit count,2407000.0,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By primary payment source,Other,Visit count,734000.0,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,Total,All visits,Visit count,29888000.0,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By sex,Female,Visit count,14394000.0,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By sex,Male,Visit count,15494000.0,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By age,0-17 years old,Visit count,8447000.0,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By age,18-44 years old,Visit count,11580000.0,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By age,45-64 years old,Visit count,5981000.0,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By age,65+ years old,Visit count,3880000.0,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By race/ethnicity,Non-Hispanic white,Visit count,19545000.0,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By race/ethnicity,Non-Hispanic black,Visit count,5021000.0,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By race/ethnicity,Hispanic,Visit count,4451000.0,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By race/ethnicity,Non-Hispanic other,Visit count,871000.0,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By region,Northeast,Visit count,4729000.0,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By region,Midwest,Visit count,6558000.0,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By region,South,Visit count,11435000.0,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By region,West,Visit count,7167000.0,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By metropolitan statistical area (MSA),MSA,Visit count,23023000.0,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By metropolitan statistical area (MSA),Non-MSA,Visit count,6865000.0,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By primary payment source,Private insurance,Visit count,8611000.0,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By primary payment source,Medicare,Visit count,4062000.0,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By primary payment source,Medicaid,Visit count,9014000.0,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By primary payment source,Uninsured,Visit count,2977000.0,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By primary payment source,Other,Visit count,1643000.0,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,Total,All visits,Visit count,14918000.0,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By sex,Female,Visit count,8051000.0,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By sex,Male,Visit count,6866000.0,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By age,0-17 years old,Visit count,5903000.0,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By age,18-44 years old,Visit count,4442000.0,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By age,45-64 years old,Visit count,2670000.0,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By age,65+ years old,Visit count,1902000.0,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By race/ethnicity,Non-Hispanic white,Visit count,7739000.0,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By race/ethnicity,Non-Hispanic black,Visit count,4070000.0,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By race/ethnicity,Hispanic,Visit count,2727000.0,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By race/ethnicity,Non-Hispanic other,Visit count,382000.0,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By region,Northeast,Visit count,2043000.0,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By region,Midwest,Visit count,3627000.0,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By region,South,Visit count,5966000.0,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By region,West,Visit count,3282000.0,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By metropolitan statistical area (MSA),MSA,Visit count,11371000.0,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By metropolitan statistical area (MSA),Non-MSA,Visit count,3547000.0,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By primary payment source,Private insurance,Visit count,3111000.0,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By primary payment source,Medicare,Visit count,2187000.0,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By primary payment source,Medicaid,Visit count,6338000.0,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By primary payment source,Uninsured,Visit count,1114000.0,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,Total,All visits,Visit count,10756000.0,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By sex,Female,Visit count,5744000.0,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By sex,Male,Visit count,5011000.0,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By age,0-17 years old,Visit count,847000.0,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By age,18-44 years old,Visit count,4305000.0,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By age,45-64 years old,Visit count,3838000.0,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By age,65+ years old,Visit count,1765000.0,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By race/ethnicity,Non-Hispanic white,Visit count,6266000.0,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By race/ethnicity,Non-Hispanic black,Visit count,2535000.0,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By race/ethnicity,Hispanic,Visit count,1582000.0,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By race/ethnicity,Non-Hispanic other,Visit count,372000.0,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By region,Northeast,Visit count,1702000.0,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By region,Midwest,Visit count,2110000.0,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By region,South,Visit count,4199000.0,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By region,West,Visit count,2744000.0,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By metropolitan statistical area (MSA),MSA,Visit count,8923000.0,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By metropolitan statistical area (MSA),Non-MSA,Visit count,1832000.0,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By primary payment source,Private insurance,Visit count,3122000.0,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By primary payment source,Medicare,Visit count,2103000.0,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By primary payment source,Medicaid,Visit count,3213000.0,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By primary payment source,Uninsured,Visit count,1040000.0,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By primary payment source,Other,Visit count,425000.0,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,Total,All visits,Visit count,7968000.0,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By sex,Female,Visit count,4136000.0,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By sex,Male,Visit count,3832000.0,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By age,0-17 years old,Visit count,1196000.0,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By age,18-44 years old,Visit count,3224000.0,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By age,45-64 years old,Visit count,2233000.0,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By age,65+ years old,Visit count,1315000.0,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By race/ethnicity,Non-Hispanic white,Visit count,4847000.0,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By race/ethnicity,Non-Hispanic black,Visit count,1421000.0,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By race/ethnicity,Hispanic,Visit count,1366000.0,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By race/ethnicity,Non-Hispanic other,Visit count,335000.0,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By region,Northeast,Visit count,1402000.0,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By region,Midwest,Visit count,1669000.0,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By region,South,Visit count,2852000.0,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By region,West,Visit count,2046000.0,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By metropolitan statistical area (MSA),MSA,Visit count,6547000.0,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By metropolitan statistical area (MSA),Non-MSA,Visit count,1422000.0,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By primary payment source,Private insurance,Visit count,1882000.0,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By primary payment source,Medicare,Visit count,1518000.0,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By primary payment source,Medicaid,Visit count,2830000.0,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By primary payment source,Uninsured,Visit count,879000.0,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,Total,All visits,Visit count,8192000.0,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By sex,Female,Visit count,5792000.0,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By sex,Male,Visit count,2401000.0,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By age,0-17 years old,Visit count,903000.0,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By age,18-44 years old,Visit count,3943000.0,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By age,45-64 years old,Visit count,1827000.0,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By age,65+ years old,Visit count,1519000.0,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By race/ethnicity,Non-Hispanic white,Visit count,5058000.0,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By race/ethnicity,Non-Hispanic black,Visit count,1691000.0,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By race/ethnicity,Hispanic,Visit count,1229000.0,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By race/ethnicity,Non-Hispanic other,Visit count,215000.0,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By region,Northeast,Visit count,1285000.0,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By region,Midwest,Visit count,1515000.0,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By region,South,Visit count,3285000.0,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By region,West,Visit count,2108000.0,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By metropolitan statistical area (MSA),MSA,Visit count,6904000.0,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By metropolitan statistical area (MSA),Non-MSA,Visit count,1288000.0,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By primary payment source,Private insurance,Visit count,2252000.0,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By primary payment source,Medicare,Visit count,1504000.0,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By primary payment source,Medicaid,Visit count,2715000.0,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By primary payment source,Uninsured,Visit count,768000.0,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",Total,All visits,Visit count,5485000.0,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By sex,Female,Visit count,2407000.0,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By sex,Male,Visit count,3079000.0,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By age,0-17 years old,Visit count,587000.0,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By age,18-44 years old,Visit count,2725000.0,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By age,45-64 years old,Visit count,1798000.0,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By age,65+ years old,Visit count,376000.0,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By race/ethnicity,Non-Hispanic white,Visit count,3332000.0,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By race/ethnicity,Non-Hispanic black,Visit count,1180000.0,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By race/ethnicity,Hispanic,Visit count,687000.0,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By race/ethnicity,Non-Hispanic other,Visit count,286000.0,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By region,Northeast,Visit count,1517000.0,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By region,Midwest,Visit count,1073000.0,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By region,South,Visit count,1498000.0,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By region,West,Visit count,1397000.0,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By metropolitan statistical area (MSA),MSA,Visit count,4800000.0,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By metropolitan statistical area (MSA),Non-MSA,Visit count,685000.0,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By primary payment source,Private insurance,Visit count,1118000.0,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By primary payment source,Medicare,Visit count,695000.0,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By primary payment source,Medicaid,Visit count,2196000.0,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By primary payment source,Uninsured,Visit count,610000.0,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,Total,All visits,Visit count,4774000.0,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By sex,Female,Visit count,2395000.0,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By sex,Male,Visit count,2379000.0,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By age,18-44 years old,Visit count,544000.0,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By age,45-64 years old,Visit count,1610000.0,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By age,65+ years old,Visit count,2497000.0,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By race/ethnicity,Non-Hispanic white,Visit count,3304000.0,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By race/ethnicity,Non-Hispanic black,Visit count,895000.0,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By race/ethnicity,Hispanic,Visit count,440000.0,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By region,Northeast,Visit count,925000.0,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By region,Midwest,Visit count,1246000.0,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By region,South,Visit count,1594000.0,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By region,West,Visit count,1009000.0,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By metropolitan statistical area (MSA),MSA,Visit count,3660000.0,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By primary payment source,Private insurance,Visit count,921000.0,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By primary payment source,Medicare,Visit count,2254000.0,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By primary payment source,Medicaid,Visit count,680000.0,Yes
2016,By primary diagnosis,9,9. Certain infectious and parasitic diseases,Total,All visits,Visit count,3672000.0,Yes
2016,By primary diagnosis,9,9. Certain infectious and parasitic diseases,By sex,Female,Visit count,1853000.0,Yes
2016,By primary diagnosis,9,9. Certain infectious and parasitic diseases,By sex,Male,Visit count,1820000.0,Yes
2016,By primary diagnosis,9,9. Certain infectious and parasitic diseases,By age,0-17 years old,Visit count,1568000.0,Yes
2016,By primary diagnosis,9,9. Certain infectious and parasitic diseases,By age,18-44 years old,Visit count,1239000.0,Yes
2016,By primary diagnosis,9,9. Certain infectious and parasitic diseases,By age,45-64 years old,Visit count,447000.0,Yes
2016,By primary diagnosis,9,9. Certain infectious and parasitic diseases,By age,65+ years old,Visit count,419000.0,Yes
2016,By primary diagnosis,9,9. Certain infectious and parasitic diseases,By race/ethnicity,Non-Hispanic white,Visit count,1591000.0,Yes
2016,By primary diagnosis,9,9. Certain infectious and parasitic diseases,By race/ethnicity,Non-Hispanic black,Visit count,1063000.0,Yes
2016,By primary diagnosis,9,9. Certain infectious and parasitic diseases,By race/ethnicity,Hispanic,Visit count,789000.0,Yes
2016,By primary diagnosis,9,9. Certain infectious and parasitic diseases,By race/ethnicity,Non-Hispanic other,Visit count,229000.0,Yes
2016,By primary diagnosis,9,9. Certain infectious and parasitic diseases,By region,Northeast,Visit count,837000.0,Yes
2016,By primary diagnosis,9,9. Certain infectious and parasitic diseases,By region,Midwest,Visit count,753000.0,Yes
2016,By primary diagnosis,9,9. Certain infectious and parasitic diseases,By region,South,Visit count,1231000.0,Yes
2016,By primary diagnosis,9,9. Certain infectious and parasitic diseases,By region,West,Visit count,851000.0,Yes
2016,By primary diagnosis,9,9. Certain infectious and parasitic diseases,By metropolitan statistical area (MSA),MSA,Visit count,2959000.0,Yes
2016,By primary diagnosis,9,9. Certain infectious and parasitic diseases,By metropolitan statistical area (MSA),Non-MSA,Visit count,713000.0,Yes
2016,By primary diagnosis,9,9. Certain infectious and parasitic diseases,By primary payment source,Private insurance,Visit count,809000.0,Yes
2016,By primary diagnosis,9,9. Certain infectious and parasitic diseases,By primary payment source,Medicare,Visit count,472000.0,Yes
2016,By primary diagnosis,9,9. Certain infectious and parasitic diseases,By primary payment source,Medicaid,Visit count,1528000.0,Yes
2016,By primary diagnosis,9,9. Certain infectious and parasitic diseases,By primary payment source,Uninsured,Visit count,248000.0,Yes
2016,By primary diagnosis,10,10. Diseases of the skin and subcutaneous tissue,Total,All visits,Visit count,5037000.0,Yes
2016,By primary diagnosis,10,10. Diseases of the skin and subcutaneous tissue,By sex,Female,Visit count,2534000.0,Yes
2016,By primary diagnosis,10,10. Diseases of the skin and subcutaneous tissue,By sex,Male,Visit count,2503000.0,Yes
2016,By primary diagnosis,10,10. Diseases of the skin and subcutaneous tissue,By age,0-17 years old,Visit count,1182000.0,Yes
2016,By primary diagnosis,10,10. Diseases of the skin and subcutaneous tissue,By age,18-44 years old,Visit count,2143000.0,Yes
2016,By primary diagnosis,10,10. Diseases of the skin and subcutaneous tissue,By age,45-64 years old,Visit count,1068000.0,Yes
2016,By primary diagnosis,10,10. Diseases of the skin and subcutaneous tissue,By age,65+ years old,Visit count,644000.0,Yes
2016,By primary diagnosis,10,10. Diseases of the skin and subcutaneous tissue,By race/ethnicity,Non-Hispanic white,Visit count,3024000.0,Yes
2016,By primary diagnosis,10,10. Diseases of the skin and subcutaneous tissue,By race/ethnicity,Non-Hispanic black,Visit count,1076000.0,Yes
2016,By primary diagnosis,10,10. Diseases of the skin and subcutaneous tissue,By race/ethnicity,Hispanic,Visit count,850000.0,Yes
2016,By primary diagnosis,10,10. Diseases of the skin and subcutaneous tissue,By region,Northeast,Visit count,811000.0,Yes
2016,By primary diagnosis,10,10. Diseases of the skin and subcutaneous tissue,By region,Midwest,Visit count,943000.0,Yes
2016,By primary diagnosis,10,10. Diseases of the skin and subcutaneous tissue,By region,South,Visit count,2009000.0,Yes
2016,By primary diagnosis,10,10. Diseases of the skin and subcutaneous tissue,By region,West,Visit count,1274000.0,Yes
2016,By primary diagnosis,10,10. Diseases of the skin and subcutaneous tissue,By metropolitan statistical area (MSA),MSA,Visit count,4228000.0,Yes
2016,By primary diagnosis,10,10. Diseases of the skin and subcutaneous tissue,By metropolitan statistical area (MSA),Non-MSA,Visit count,809000.0,Yes
2016,By primary diagnosis,10,10. Diseases of the skin and subcutaneous tissue,By primary payment source,Private insurance,Visit count,1106000.0,Yes
2016,By primary diagnosis,10,10. Diseases of the skin and subcutaneous tissue,By primary payment source,Medicare,Visit count,749000.0,Yes
2016,By primary diagnosis,10,10. Diseases of the skin and subcutaneous tissue,By primary payment source,Medicaid,Visit count,1877000.0,Yes
2016,By primary diagnosis,10,10. Diseases of the skin and subcutaneous tissue,By primary payment source,Uninsured,Visit count,533000.0,Yes
2017,By primary diagnosis,0,All diagnoses,Total,All visits,Visit count,138977000.0,Yes
2017,By primary diagnosis,0,All diagnoses,By sex,Female,Visit count,77215000.0,Yes
2017,By primary diagnosis,0,All diagnoses,By sex,Male,Visit count,61762000.0,Yes
2017,By primary diagnosis,0,All diagnoses,By age,0-17 years old,Visit count,33698000.0,Yes
2017,By primary diagnosis,0,All diagnoses,By age,18-44 years old,Visit count,53072000.0,Yes
2017,By primary diagnosis,0,All diagnoses,By age,45-64 years old,Visit count,29828000.0,Yes
2017,By primary diagnosis,0,All diagnoses,By age,65+ years old,Visit count,22379000.0,Yes
2017,By primary diagnosis,0,All diagnoses,By race/ethnicity,Non-Hispanic white,Visit count,77187000.0,Yes
2017,By primary diagnosis,0,All diagnoses,By race/ethnicity,Non-Hispanic black,Visit count,34846000.0,Yes
2017,By primary diagnosis,0,All diagnoses,By race/ethnicity,Hispanic,Visit count,22077000.0,Yes
2017,By primary diagnosis,0,All diagnoses,By race/ethnicity,Non-Hispanic other,Visit count,4866000.0,Yes
2017,By primary diagnosis,0,All diagnoses,By region,Northeast,Visit count,18450000.0,Yes
2017,By primary diagnosis,0,All diagnoses,By region,Midwest,Visit count,36860000.0,Yes
